AquoMetadata_MessageID;Parameter_Wat_Omschrijving;Compartiment.Code;Compartiment.Omschrijving;Eenheid.Code;Eenheid.Omschrijving;Grootheid.Code;Grootheid.Omschrijving;Hoedanigheid.Code;Hoedanigheid.Omschrijving;Parameter.Code;Parameter.Omschrijving
92;Massafractie magnesium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Mg;magnesium
93;Massafractie minerale olie in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;minrlole;minerale olie
94;Massafractie mangaan in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Mn;mangaan
95;Massafractie molybdeen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Mo;molybdeen
96;Massafractie natrium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Na;natrium
97;Massafractie naftaleen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Naf;naftaleen
98;Massafractie niobium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Nb;niobium
99;Massafractie neodymium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Nd;neodymium
100;Massafractie nikkel in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Ni;nikkel
101;Massafractie lood in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Pb;lood
102;Massafractie praseodymium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Pr;praseodymium
103;Massafractie pyreen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Pyr;pyreen
104;Massafractie rubidium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Rb;rubidium
105;Massafractie antimoon in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Sb;antimoon
106;Massafractie scandium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Sc;scandium
107;Massafractie seleen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Se;seleen
108;Massafractie samarium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Sm;samarium
109;Massafractie tin in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Sn;tin
110;Massafractie som 6 polycyclische aromatische koolwaterstoffen (Borneff) in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;sPAK6;som 6 polycyclische aromatische koolwaterstoffen (Borneff)
111;Massafractie strontium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Sr;strontium
112;Massafractie zwavel totaal in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Stot;zwavel totaal
113;Massafractie som 2,3,4,6- en 2,3,5,6-tetrachloorfenol in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;s23x6T4ClFol;som 2,3,4,6- en 2,3,5,6-tetrachloorfenol
114;Massafractie som 2,4- en 2,5-dichloorfenol in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;s2425DClFol;som 2,4- en 2,5-dichloorfenol
115;Massafractie terbium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Tb;terbium
