"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd";"Guid"
4802;"378784-44-2";"Tc97m";"technetium 97m";"ChemischeStof";"2011-06-08";"2014-07-31";"Vervallen";"";"Id-30af73b3-7128-4d22-9baa-b67a27e95d1d"
4802;"378784-44-2";"Tc97m";"technetium 97m (metastabiel)";"ChemischeStof";"2014-08-01";"2100-01-01";"Geldig";"";"Id-3776b8ea-5cf9-4972-bcdc-a34d3ee0f463"
4803;"14133-76-7";"Tc99";"technetium 99";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-2fb9f2dc-4ba4-4551-ab83-7b31c5db4747"
4804;"NVT";"ZAND";"Zand";"Object";"2011-06-08";"2100-01-01";"Geldig";"Id-c0657303-0fe6-4f6b-a8b7-5e2e052b2c8e";"Id-db2efbca-0285-4eba-90f3-98c7331b0d45"
4805;"41814-78-2";"Tcczl";"tricyclazool";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-2eea7e19-0339-455c-a162-a6cd6f55a4ee"
4806;"53720-80-2";"Tcfndne";"trichlofenidine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-d75c088b-4704-438c-92d9-462f538d8988"
4807;"12002-48-1";"TClBen";"trichloorbenzeen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-b0fc9b46-911a-4487-8f4e-894265a7284c"
4808;"75-87-6";"TClC2al";"trichloorethanal";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-e1e86548-8065-46d1-a685-19187ca438b7"
4809;"87-90-1";"TCliCNzr";"trichloorisocyanuurzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-df24c935-b0b8-4039-9b99-2efb8f032890"
4810;"21564-17-0";"TCMTB";"2-(thiocyanomethylthio)benzothiazool";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-666572af-c3bf-4087-9901-9900eca37bd2"
4811;"64700-56-7";"TcpC4OxC2yEs";"triclopyr-butoxyethylester";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-33fe222a-47f7-4649-a34a-adb59db50c65"
4812;"3380-34-5";"Tcsn";"triclosan";"ChemischeStof";"2012-11-17";"2100-01-01";"Geldig";"";"Id-eabe6c36-4314-461f-8cb8-ba0d641e6769"
